"Everyone going in about how much money they’ve lost and how the boycott is hurting them can get their panties in a twist again when they see it’s not really true. Go woke, go broke isn’t a thing",1
I want this to be real. But I know it’s not,0
I can admit that’s funny.,0
Ayeoooooo happly holiday folks,0
ngl this pic is tuff as hell,0
HELL WELCOMES A NEW PUSSY,1
"Dear Retards, As Americans, we live in a constitutional republic, not a democracy",1
"She ain't even grateful, probably just lays down and takes it ffs",1
Who is this stunning young gentlemen? I want his number. He have a name?,0
My favorite meme,0
Will there be a revolution?,0
you bitches need to stop becoming RN’s/CNA’s for the money,1
bitch you mean food???,1
you racist fuck,1
a man adding you to his close friends as soon as you follow him is whore behavior,1
Weedcels be like holup I need to make myself really tired and scared and antisocial before we go,1
OMG that's awesome,0
"Nice evade, ahaha",0
I think it’s possible,0
something deteriorates in women’s brains after having a son i need to find the literature on this,1
Worst ever!,1
These trannies bash back.,1
Don't respect her past either. That's bullshit too.,1
This never happened,0
This is the clown people are believing?,1
"If the word Fuck bothers you more than literal book banning, you might be no talent assclown Jared Patterson",1
True definition of boys will be boys,0
I fucking love walkable cities,0
those damn gays,1
nothing more weak than a bitch that gotta go around and recruit people to dislike you,1
"My family all in on Tank, fuck Garcia",1
this might be the greatest tiktoker in existence,0
Your bed stinks,1
"I used to be 100% on the side of morning showers. I switched a few years ago to showering at night. I sleep better, by sheets stay fresh up to laundry day, acne all but gone now. I'll never go back to mornings.",0
Your absolutely right...,0
"I’m another Christian that believes like you do, and I was happy to see other that commented. It’s not all of us.",0
Water the plants or something bro,0
that’s funny because I actually did,0
It's been 5 years. I thank God for my life.,0
“you have pretty eyes” is the best compliment ever,0
"i’m flushed with gratitude. Rock Star move, good sir. ",0
This Reddit post is going viral and I think that it's a very important PSA worth tweeting,0
I hope you get erectile dysfunction when you grow older,1
Bro was ready *thumbs up*,0
"Well deserved imo, fuck around and find out",1
Waaaaa the road is colorful waaaaa I’m a huge baby waaaaaa,1
I would pick President Biden over President AOC because the latter would not hesitate to nuke North Kore to cope with her time of the month.,1
nothing more weak than a bitch that gotta go around and recruit people to dislike you,1
they likely didn't focus on diet/exercise. So they aged 3-4 years in the span of 1.,1
"When you’re a women getting your sex segregated spaces taken from you by men in dresses, you are allowed an opinion. Until then…",1
You make all of us real women look like a total tool,1
Say imma ride with my motherfucking niggas! Most likely imma die with my finger on the trigger,1
The reason why the queerdos are retaliating so hard is because they know that they're going to lose.,1
A 10 year old is not a WOMAN you stupid cunt,1
"Come on chinks, you're upsetting me.",1
This bus is sweaty and stinks of indians,1
having large breasts makes a woman stupid.,1
you should not be allowed puberty blockers or be allowed life changing surgery's which are (cosmetic at best),1
ok i need to watch all of these this summer,0
"It’s not that she’s a woman that’s a problem, it’s that she’s a stupid woman",1
A border collie gently guiding ducklings into a puddle,0
This dog breed has the most optimal diligence found in any domesticated species,0
Baby ducks are the absolute sweetest,0
Boymoding is fucking stupid you’re a woman dressed like a 16 year old boy grow up.,1
your extremely evil and stupid brain tells you to take a photo of their vulnerable moment and release it on social media. You should not have a place among humans and cursed should be the day you were born.,1
isnt a trans woman just a weird looking guy,1
"If a man still has his penis and has never giving birth to a baby, he's a man! Putting on a dress high heels and makeup does not make you a woman!",1
Our newly refurbished store ready to be unwrapped…,0
this needs to be said,0
Bro your retarded you don't know what drag is that is literally from the fuckin game,1
it will never not be funny to me that the creator and voice of flapjack is just this tatted up dude who voluntarily lived on a deserted island and in a mexican jungle,0
Nah they werent fucked in the head back then when they made the games,1
Women can't afford jets. Women are all brokies.,1
"Anime cumsock boy has an opinion, cute.",1
A new clip from ‘GUARDIANS OF THE GALAXY VOL 3’ has been released.,0
Don't forget to stay hydrated while you are outside.,0
"For fuck sakes, more crybaby complaints from the disabled.",1
these 4 incredible girls worked hard every single day just to show us how worth it this journey is,0
"you and your entire family of disabled muppets are nothing but a drain on society, you spend your days crying on twitter about your shit life and how you can't feed yourself. You are a waste of life.",1
You sound retarded,1
Y’all don’t be gay fr & i don’t like that,1
And in this house I support my son Niki!!!!,0
Super talented boy!,0
i loved rubiks cubes as a kid. what is your best time on a 3x3?,0
Wow that is awesome! I had one of these for a few years and could only solve it by pulling it apart!,0
Arguably my favorite video in the last two decades. Captain America is real.,0
I can’t stop watching this,0
Puppy helps duckling who's flipped over while human watches and films it. ,0
Another smart business decision by the genius.,0
The Brits are a conquered nation and their police are gay,1
Dillion Brooks accepting the 2023 biggest retard of the year award,1
What’s wrong with that?,0
Cauliflower is their favorite,0
AI generates images of bears if they were our hiking buddies,0
"the only people who deserve to be in your life are the ones who treat you with love, kindness and total respect.",0
"Beautiful women compliment other women, live in alignment with their cycle, romanticise their life, enjoy the magic of the mundane",0
Will Smith eating pizza,0
how cute is this dog so excited over the baby ! labs are the best,0
Love yourself Encourage yourself Motivate yourself,0
"People with gorgeous hearts, open minds & pure intentions.",0
